pid1	page1	pid2	page2	pid3	page3	pid4	page4	pid5	page5		pid6	page6	pid7	page7	pid8	page8	pid9	page9	pid10	page10
				75293		95333	#39				98373		98074		92645		39539		12916	
				93644		97197					42432		93832		87426		32563		6204	
				93725		98420					46118		21752		96090		99263		63717	
				93806		96176					91774		6207		96743		47846		78720	
				23009		25884					94516		92646		23133		91586		93656	
				77843		50543					94563		93659		26013		97634		93737	
						97738					93805		94635		73985		81385		96211	
				93271fam	#29	19472					94418		96421		89546		97922		81030	
				93304		22643					96564		97309		22542		97841		86139	
				64626fam		39938					99278		98654		22542		22616		86468	
				96716		71810					99444		96150		63542		23061		94487	
				34501		78421					99688		86348		87447		23183		17808	
				49253		86446							86717		87451		83409		93433	
				72252		88613					23134	#4	86802		99271		50598		96232	
				76677		91778					97657		87081		22549		86959		92574	
				84489		26087					34196		97699		32358		90512		67712	
				91738		71900					69904		99430		22624		93799		98343	
				95720		31104					35168		91582		87079		56289		70599	
				98718		72935					95404		96451		93482		99825		12932	
				94562		80367					70489		98083		98446		93867		2774	
				94424		31742					49783		76781		94999				28449	
				50415		37381					95689		98858		17885		77789	#34	35004	
				25970		93818					89632		92492		73455		81096		37606	
				98873		89751					87927		95695		77352		95914		39802	
				41683		96302					92615		97972		99272		97215		97386	
				80083		86716					94320		98084		68211		85568fam		88642	
				34497		19977					94361		60295		97214		85305fam		92119	
				72470		97747					97763		93586		99094		86358		92448	
				35983		97885					98006		86314		22593		98292		97768	
				39800		63533					98010		92547		22999		53326		97808	
				91763		91758					99104		92632		23033		59027		14807	
				32358		89569					97288		91778		23074		89904		92706	
				78675		90981					94407		97659		15616		90164			
				38043		96660					94411		98640		19165		30153		76674	#44
				99567		96737					94489		98681		78385		28801		2716	
				28443		96741					94493		98758		83398		97713		91735	
				28646		49783					97738				83109		97754		97225	
				96706		35553					96576		99612	#14	85922		89777		97833	
				96630		56172					95698		90376		86200		97835		98273	
				63524		89851					96439		92462		86728		68372		96726	
				96419							79864		92543		97217		70301		96730	
				82379			#40				82564		94560		53814		81444		95834	
				76486		98509					86994		78383		76747		83429		22653	
				91182		99279					95331		95690		76832		83717		14756	
						99607					96566		83850				94580		22694	
				91754	#30	99611					86976		93282		89554	#24	98509		60728	
				98330		42378					87080		93278		93798		98716		69819	
				17819		46149					75221		97995		97831		96103		69904	
				22548		63447					32112		19163		95787		97729		87521	
				22593		63528					85568fam		18515		96722		98296		87850	
				23033		88945					93833		98638		21764		17695		91436	
				81453		88616					93854		26084		21868fam		23189		40430	
				69763		94849					95729		27141		99111		36774		93628	
				83398		97364					97911		32811		99440		86356		93669	
				97217		96306					95973		88810		99724		86400		93713	
				89554		96310					96302		98303		82857		96076		93835	
				98821		98543					26937		96253		83220		91759		97763	
				86466		60296					97990		96294		86466		21588		97662	
				68114		81608					32106		15760		86632				58476	
				68358		83110					88647		22622		98337		80979	#35	76951	
				89797		84489					88105		74535		97324		83522		96918	
				97077		83354					88146		81046		100685		85721		98010	
				96721		94582					89159		82757		71910		29399		81045	
				99106		86315							82842		83522		43120		98542	
				98862		96283					93285	#5	96699		92144		32001		86321	
				98899		98763					96453		96739		92635		85755		27820	
				91473		99082					96615		96905		92676		86207		86717	
				95696		99285					96660		37327		94433		41850		99595fam	
				9590		98187					96737		86951		96078		98496		88611	
				31269		97908					14808		89781		96146fam		85922		89799	
				32038		63443					15622		73458		98899		86362		61523	
				37605		70999fam					22624		97832		99084		76748		63512	
				97390		86206					23146		75203		99291		78386		29376	
				93870		87057					35549		93817		69898		96281		34440	
				94347		77139					35553		94487		55833		93583		48181	
				94919		96061					36728		94491		7429		93295		56218	
				98819		63506					38433		92530		86334		97614		97288	
				95693		61551					39487		96926		91717		88563		90375	
				72041		67722					81444				88567		89094		94406	
						50572					86228		98343	#15	91473		92478		19092	
						78386					97744		98387		87483		93873		96167	
						96281					37450		12932		78421		15596		96182	
						96539					67632		2774		78787		98329		99250	
						86348					67835		28449		80698		21711		67928	
						31966					68235		35004		90355		93859		69764	
						87514					68357		23133		89301		72223		98656	
						7375					91194		97836		96182		98286		13149	
						93826					92170		96170		92121		96252			
											93840		96278		96588		86803		97597	#45
											96103		82728		98495		83861		94514	
											99065		89631				84590		100769	
											99268		99249		53956	#25	85193		94349	
											99272		93299		92462		96708		65304	
											99722		93627		92543		96221		68354	
											60296		93668		95667		96461		100630	
											77775		91459		87463		96416		126	
											77937		29376		74176		96619		96172	
											84407		98002		98385		97271		96703	
											90068		98334		32720		97352		28522	
											90072		99059		35187		35189		70616	
											89605		17688		36735		73308		93300	
											94253		2704		37383		83519		7429	
											94294		99825		91146		74203		93711	
											94375		99584		92531		92474		93728	
											94582		65323fam		70548		86796		80770	
											96076		81029		93707		89158		96615	
											96080		82622		96077		93856		96449	
											97831		95399		96081		93860		96453	
											97340		90803		88612				98398	
											87470		90925		98395				98401	
											87628		81903		97354				98438	
											87669		96095		88810				72165	
											92109		96107		22766				38433	
											70616		97991		81457				39487	
													97987		94958				41704	
													98021		95074				86228	
													93663		94629				92960	
													96202		22562				93027	
													93870		22643				94620	
													97731		38326				94701	
													97598		98652				21600	
													67712		98364				17885	
													67834		98004				17925	
													76951		98496				61543	
													77798		69072				71141	
													95335		94683				75200	
													93315		93833				72889	
													97662		87383				72933	
													98000		87464				77352	
													98037		93818				77023	
													97732		100063				67632	
													95674		86698				67835	
													22555		92891fam				68235	
													72262		32106				96473	
													86325		77913				93808	
													93575		96414				93853	
															96210				96571	
															98237				96283	
															98359				99082	
															74089				99122	
															97275				99285	
															86677				99088	
															44126				63443	
															68120				19978	
																			63550	
																			90791	
